# Nmap 7.60 scan initiated Sun Apr 11 13:02:43 2021 as: nmap -sS -v -v -Pn -O -oN nmap_sS_v_v_Pn_O.txt unit-deb.pnj.ac.id
Nmap scan report for unit-deb.pnj.ac.id (103.36.14.100)
Host is up, received user-set (0.048s latency).
Scanned at 2021-04-11 13:02:56 WIB for 6s

PORT      STATE SERVICE              REASON
1038/tcp  open  mtqp                 syn-ack ttl 253
1039/tcp  open  sbl                  syn-ack ttl 253
1040/tcp  open  netsaint             syn-ack ttl 253
1041/tcp  open  danf-ak2             syn-ack ttl 253
1042/tcp  open  afrog                syn-ack ttl 253
1043/tcp  open  boinc                syn-ack ttl 253
1044/tcp  open  dcutility            syn-ack ttl 253
1045/tcp  open  fpitp                syn-ack ttl 253
1046/tcp  open  wfremotertm          syn-ack ttl 253
1047/tcp  open  neod1                syn-ack ttl 253
1048/tcp  open  neod2                syn-ack ttl 253
1049/tcp  open  td-postman           syn-ack ttl 253
1050/tcp  open  java-or-OTGfileshare syn-ack ttl 253
1051/tcp  open  optima-vnet          syn-ack ttl 253
1052/tcp  open  ddt                  syn-ack ttl 253
1053/tcp  open  remote-as            syn-ack ttl 253
1054/tcp  open  brvread              syn-ack ttl 253
1055/tcp  open  ansyslmd             syn-ack ttl 253
1056/tcp  open  vfo                  syn-ack ttl 253
1057/tcp  open  startron             syn-ack ttl 253
1058/tcp  open  nim                  syn-ack ttl 253
1059/tcp  open  nimreg               syn-ack ttl 253
1060/tcp  open  polestar             syn-ack ttl 253
1061/tcp  open  kiosk                syn-ack ttl 253
1062/tcp  open  veracity             syn-ack ttl 253
1063/tcp  open  kyoceranetdev        syn-ack ttl 253
1064/tcp  open  jstel                syn-ack ttl 253
1065/tcp  open  syscomlan            syn-ack ttl 253
1066/tcp  open  fpo-fns              syn-ack ttl 253
1067/tcp  open  instl_boots          syn-ack ttl 253
1068/tcp  open  instl_bootc          syn-ack ttl 253
1069/tcp  open  cognex-insight       syn-ack ttl 253
1070/tcp  open  gmrupdateserv        syn-ack ttl 253
1071/tcp  open  bsquare-voip         syn-ack ttl 253
1072/tcp  open  cardax               syn-ack ttl 253
1073/tcp  open  bridgecontrol        syn-ack ttl 253
1074/tcp  open  warmspotMgmt         syn-ack ttl 253
1075/tcp  open  rdrmshc              syn-ack ttl 253
1076/tcp  open  sns_credit           syn-ack ttl 253
1077/tcp  open  imgames              syn-ack ttl 253
1078/tcp  open  avocent-proxy        syn-ack ttl 253
1079/tcp  open  asprovatalk          syn-ack ttl 253
1080/tcp  open  socks                syn-ack ttl 253
1081/tcp  open  pvuniwien            syn-ack ttl 253
1082/tcp  open  amt-esd-prot         syn-ack ttl 253
1083/tcp  open  ansoft-lm-1          syn-ack ttl 253
1084/tcp  open  ansoft-lm-2          syn-ack ttl 253
1085/tcp  open  webobjects           syn-ack ttl 253
1086/tcp  open  cplscrambler-lg      syn-ack ttl 253
1087/tcp  open  cplscrambler-in      syn-ack ttl 253
1088/tcp  open  cplscrambler-al      syn-ack ttl 253
1089/tcp  open  ff-annunc            syn-ack ttl 253
1090/tcp  open  ff-fms               syn-ack ttl 253
1091/tcp  open  ff-sm                syn-ack ttl 253
1092/tcp  open  obrpd                syn-ack ttl 253
1093/tcp  open  proofd               syn-ack ttl 253
1094/tcp  open  rootd                syn-ack ttl 253
1095/tcp  open  nicelink             syn-ack ttl 253
1096/tcp  open  cnrprotocol          syn-ack ttl 253
1097/tcp  open  sunclustermgr        syn-ack ttl 253
1098/tcp  open  rmiactivation        syn-ack ttl 253
1099/tcp  open  rmiregistry          syn-ack ttl 253
1100/tcp  open  mctp                 syn-ack ttl 253
1102/tcp  open  adobeserver-1        syn-ack ttl 253
1104/tcp  open  xrl                  syn-ack ttl 253
1105/tcp  open  ftranhc              syn-ack ttl 253
1106/tcp  open  isoipsigport-1       syn-ack ttl 253
1107/tcp  open  isoipsigport-2       syn-ack ttl 253
1108/tcp  open  ratio-adp            syn-ack ttl 253
1110/tcp  open  nfsd-status          syn-ack ttl 253
1111/tcp  open  lmsocialserver       syn-ack ttl 253
1112/tcp  open  msql                 syn-ack ttl 253
1113/tcp  open  ltp-deepspace        syn-ack ttl 253
1114/tcp  open  mini-sql             syn-ack ttl 253
1117/tcp  open  ardus-mtrns          syn-ack ttl 253
1119/tcp  open  bnetgame             syn-ack ttl 253
1121/tcp  open  rmpp                 syn-ack ttl 253
1122/tcp  open  availant-mgr         syn-ack ttl 253
1123/tcp  open  murray               syn-ack ttl 253
1124/tcp  open  hpvmmcontrol         syn-ack ttl 253
1126/tcp  open  hpvmmdata            syn-ack ttl 253
1130/tcp  open  casp                 syn-ack ttl 253
1131/tcp  open  caspssl              syn-ack ttl 253
1132/tcp  open  kvm-via-ip           syn-ack ttl 253
1137/tcp  open  trim                 syn-ack ttl 253
1138/tcp  open  encrypted_admin      syn-ack ttl 253
1141/tcp  open  mxomss               syn-ack ttl 253
1145/tcp  open  x9-icue              syn-ack ttl 253
1147/tcp  open  capioverlan          syn-ack ttl 253
1148/tcp  open  elfiq-repl           syn-ack ttl 253
1149/tcp  open  bvtsonar             syn-ack ttl 253
1151/tcp  open  unizensus            syn-ack ttl 253
1152/tcp  open  winpoplanmess        syn-ack ttl 253
1154/tcp  open  resacommunity        syn-ack ttl 253
1163/tcp  open  sddp                 syn-ack ttl 253
1164/tcp  open  qsm-proxy            syn-ack ttl 253
1165/tcp  open  qsm-gui              syn-ack ttl 253
1166/tcp  open  qsm-remote           syn-ack ttl 253
1169/tcp  open  tripwire             syn-ack ttl 253
1174/tcp  open  fnet-remote-ui       syn-ack ttl 253
1175/tcp  open  dossier              syn-ack ttl 253
1183/tcp  open  llsurfup-http        syn-ack ttl 253
1185/tcp  open  catchpole            syn-ack ttl 253
1186/tcp  open  mysql-cluster        syn-ack ttl 253
1187/tcp  open  alias                syn-ack ttl 253
1192/tcp  open  caids-sensor         syn-ack ttl 253
1198/tcp  open  cajo-discovery       syn-ack ttl 253
1199/tcp  open  dmidi                syn-ack ttl 253
1201/tcp  open  nucleus-sand         syn-ack ttl 253
1213/tcp  open  mpc-lifenet          syn-ack ttl 253
1216/tcp  open  etebac5              syn-ack ttl 253
1217/tcp  open  hpss-ndapi           syn-ack ttl 253
1218/tcp  open  aeroflight-ads       syn-ack ttl 253
1233/tcp  open  univ-appserver       syn-ack ttl 253
1234/tcp  open  hotline              syn-ack ttl 253
1236/tcp  open  bvcontrol            syn-ack ttl 253
1244/tcp  open  isbconference1       syn-ack ttl 253
1247/tcp  open  visionpyramid        syn-ack ttl 253
1248/tcp  open  hermes               syn-ack ttl 253
1259/tcp  open  opennl-voice         syn-ack ttl 253
1271/tcp  open  excw                 syn-ack ttl 253
1272/tcp  open  cspmlockmgr          syn-ack ttl 253
1277/tcp  open  miva-mqs             syn-ack ttl 253
1287/tcp  open  routematch           syn-ack ttl 253
1296/tcp  open  dproxy               syn-ack ttl 253
1300/tcp  open  h323hostcallsc       syn-ack ttl 253
1301/tcp  open  ci3-software-1       syn-ack ttl 253
1309/tcp  open  jtag-server          syn-ack ttl 253
1310/tcp  open  husky                syn-ack ttl 253
1311/tcp  open  rxmon                syn-ack ttl 253
1322/tcp  open  novation             syn-ack ttl 253
1328/tcp  open  ewall                syn-ack ttl 253
1334/tcp  open  writesrv             syn-ack ttl 253
1352/tcp  open  lotusnotes           syn-ack ttl 253
1417/tcp  open  timbuktu-srv1        syn-ack ttl 253
1433/tcp  open  ms-sql-s             syn-ack ttl 253
1434/tcp  open  ms-sql-m             syn-ack ttl 253
1443/tcp  open  ies-lm               syn-ack ttl 253
1455/tcp  open  esl-lm               syn-ack ttl 253
1461/tcp  open  ibm_wrless_lan       syn-ack ttl 253
1494/tcp  open  citrix-ica           syn-ack ttl 253
1500/tcp  open  vlsi-lm              syn-ack ttl 253
1501/tcp  open  sas-3                syn-ack ttl 253
1503/tcp  open  imtc-mcs             syn-ack ttl 253
1521/tcp  open  oracle               syn-ack ttl 253
1524/tcp  open  ingreslock           syn-ack ttl 253
1533/tcp  open  virtual-places       syn-ack ttl 253
1556/tcp  open  veritas_pbx          syn-ack ttl 253
1580/tcp  open  tn-tl-r1             syn-ack ttl 253
1583/tcp  open  simbaexpress         syn-ack ttl 253
1594/tcp  open  sixtrak              syn-ack ttl 253
1600/tcp  open  issd                 syn-ack ttl 253
1641/tcp  open  invision             syn-ack ttl 253
1658/tcp  open  sixnetudr            syn-ack ttl 253
1666/tcp  open  netview-aix-6        syn-ack ttl 253
1687/tcp  open  nsjtp-ctrl           syn-ack ttl 253
1688/tcp  open  nsjtp-data           syn-ack ttl 253
1700/tcp  open  mps-raft             syn-ack ttl 253
1717/tcp  open  fj-hdnet             syn-ack ttl 253
1718/tcp  open  h323gatedisc         syn-ack ttl 253
1719/tcp  open  h323gatestat         syn-ack ttl 253
1720/tcp  open  h323q931             syn-ack ttl 253
1721/tcp  open  caicci               syn-ack ttl 253
1723/tcp  open  pptp                 syn-ack ttl 253
1755/tcp  open  wms                  syn-ack ttl 253
1761/tcp  open  landesk-rc           syn-ack ttl 253
1782/tcp  open  hp-hcip              syn-ack ttl 253
1783/tcp  open  unknown              syn-ack ttl 253
1801/tcp  open  msmq                 syn-ack ttl 253
1805/tcp  open  enl-name             syn-ack ttl 253
1812/tcp  open  radius               syn-ack ttl 253
1839/tcp  open  netopia-vo1          syn-ack ttl 253
